P32234	GO:0005525
Q75I93	GO:0047701
Q75I93	GO:0004567
Q75I93	GO:0080079
Q75I93	GO:0042973
Q75I93	GO:0042803
Q75I93	GO:0050224
Q75I94	GO:0033907
Q75I94	GO:0004565
Q75I94	GO:0080083
Q75I94	GO:0008422
Q75I94	GO:0047701
Q75I94	GO:0004567
Q75I94	GO:0080079
Q75I94	GO:0004338
Q7XKV4	GO:0033907
Q7XKV4	GO:0004565
Q7XKV4	GO:0080083
Q7XKV4	GO:0008422
Q7XKV4	GO:0047701
Q7XKV4	GO:0004338
O64879	GO:0008422
Q9SE50	GO:0051993
Q9SE50	GO:0008422
Q9SE50	GO:0042802
Q25BW5	GO:0008422
Q25BW5	GO:0080079
Q25BW4	GO:0080079
Q9C525	GO:0008422
Q9C8Y9	GO:0008422
Q9SR37	GO:0008422
Q9SR37	GO:0005507
Q9SR37	GO:0015928
Q9SR37	GO:0002020
Q9SR37	GO:0042803
O64883	GO:0019137
A3BMZ5	GO:0033907
A3BMZ5	GO:0004565
A3BMZ5	GO:0008422
A3BMZ5	GO:0047701
A3BMZ5	GO:0004567
A3BMZ5	GO:0080079
A3BMZ5	GO:0004338
Q5AMT2	GO:0042124
Q5AMT2	GO:0042123
P15703	GO:0042124
P15703	GO:0042973
Q8GRX1	GO:0008422
Q8GRX1	GO:0019137
Q3ECS3	GO:0008422
Q3ECS3	GO:0019137
Q9C5C2	GO:0019137
P37702	GO:0008422
P37702	GO:0019137
Q3E8E5	GO:0019137
Q9LV33	GO:0080081
Q9LV33	GO:0047668
Q9LV33	GO:0080083
Q9LV33	GO:0008422
Q9LV33	GO:0004567
Q9LV33	GO:0080079
Q9LV33	GO:0080082
O80689	GO:0008422
O80689	GO:0047782
O80690	GO:0008422
O80690	GO:0047782
A2RAL4	GO:0015926
Q46829	GO:0015926
Q5BFG8	GO:0008422
Q5BCC6	GO:0008422
Q8GVD0	GO:0008422
Q2UN12	GO:0008422
Q2U325	GO:0008422
P11989	GO:0003723
P26218	GO:0015144
P39404	GO:0003700
Q4WR62	GO:0004565
P05804	GO:0004566
P08236	GO:0004566
P08236	GO:0019904
P08236	GO:0005102
P12265	GO:0004566
P12265	GO:0016787
P06760	GO:0004566
P06760	GO:0030246
P33363	GO:0008422
P33363	GO:0015926
Q9V3S9	GO:0004467
O74475	GO:0003843
Q9LNJ5	GO:0044212
Q9LUK7	GO:0005509
Q9LUK7	GO:0003677
Q9SN74	GO:0003700
Q8GY61	GO:0003677
Q8GY61	GO:0003700
Q9LK48	GO:0044212
O80674	GO:0003700
Q94JL3	GO:0001046
Q94JL3	GO:0043565
Q9C690	GO:0003700
Q8H102	GO:0044212
Q9M041	GO:0047627
Q9C8Z9	GO:0003700
O22901	GO:0003700
Q7RTU4	GO:0046982
Q9QYC3	GO:0003677
Q9QYC3	GO:0042803
Q9QYC3	GO:0000977
Q9QYC3	GO:0001228
P70562	GO:0003677
Q8C6A8	GO:0003682
Q8C6A8	GO:0042803
Q8C6A8	GO:0000981
O14503	GO:0043425
O14503	GO:0070888
O14503	GO:0019904
O14503	GO:0046982
O14503	GO:0042803
O14503	GO:0000981
O14503	GO:0003714
O14503	GO:0001078
O14503	GO:0001191
O35185	GO:0003677
O35185	GO:0070888
O35185	GO:0043426
O35185	GO:0046982
O35185	GO:0001102
O35185	GO:0003714
O35185	GO:0003705
O35185	GO:0001078
Q9C0J9	GO:0043425
Q9C0J9	GO:0070888
Q9C0J9	GO:0046982
Q9C0J9	GO:0003714
Q99PV5	GO:0043425
Q99PV5	GO:0070888
Q99PV5	GO:0042826
Q99PV5	GO:0043426
Q99PV5	GO:0046982
Q99PV5	GO:0042803
Q99PV5	GO:0001102
Q99PV5	GO:0000978
Q99PV5	GO:0000981
Q99PV5	GO:0003714
Q99PV5	GO:0003705
Q99PV5	GO:0001078
Q99PV5	GO:0001191
Q6PB60	GO:0042803
Q93088	GO:0008270
O35490	GO:0047150
O09171	GO:0047150
O09171	GO:0008168
O09171	GO:0032403
Q9H2M3	GO:0008898
Q9H2M3	GO:0061627
Q9H2M3	GO:0008270
P55061	GO:0060698
P55061	GO:0019899
P55061	GO:0031625
Q9D2C7	GO:0060698
Q9D2C7	GO:0019899
Q9UHR4	GO:0098641
Q9UHR4	GO:0070064
Q80Y61	GO:0005543
Q8JGN5	GO:0019901
Q8JGN5	GO:0008536
Q804H7	GO:0046965
P23645	GO:0005261
Q14SY0	GO:0015106
Q9H694	GO:0044822
Q96G01	GO:0008093
Q96G01	GO:0034452
Q96G01	GO:0045502
Q96G01	GO:0017137
Q96G01	GO:0005200
Q8BR07	GO:0031871
Q921C5	GO:0051959
Q921C5	GO:0017137
P16568	GO:0032050
P16568	GO:0017137
A0JNT9	GO:0034452
A0JNT9	GO:0017137
Q8CHW5	GO:0017137
P55957	GO:0005123
P70444	GO:0031625
P53004	GO:0004074
Q9CY64	GO:0004074
P46844	GO:0004074
Q9Y6D6	GO:0005085
Q9Y6D6	GO:0017022
Q9Y6D6	GO:0034237
Q9Y6D5	GO:0005086
Q9Y6D5	GO:0005085
Q9Y6D5	GO:0034237
Q7TSU1	GO:0050811
Q7TSU1	GO:0005085
Q7TSU1	GO:0017022
O48814	GO:0016301
P11709	GO:0008017
P11709	GO:0042803
Q5SHZ8	GO:0008710
Q5SHZ8	GO:0008890
P40013	GO:0051010
P40013	GO:0042803
P40013	GO:0005200
P17120	GO:0008017
P17120	GO:0003777
O00499	GO:0051015
O00499	GO:0042802
O00499	GO:0070063
O00499	GO:0048156
O08539	GO:0048156
O08839	GO:0051020
O08839	GO:0032403
O08839	GO:0046982
Q9UBW5	GO:0005543
Q9FLU1	GO:0003690
P53744	GO:0022857
P12995	GO:0004015
P12995	GO:0030170
P9WQ81	GO:0004015
P50277	GO:0004015
P54967	GO:0008270
P12996	GO:0051537
P12996	GO:0051539
P12996	GO:0004076
O59778	GO:0004076
P32451	GO:0004076
P12999	GO:0010340
P13000	GO:0005524
P13000	GO:0004141
P13000	GO:0000287
B0F481	GO:0004015
B0F481	GO:0004141
P53630	GO:0004141
P9WQ87	GO:0008710
P12998	GO:0008710
P12998	GO:0030170
P13001	GO:0052689
P13001	GO:0090499
P22822	GO:0042410
P22822	GO:0005524
D5ARG8	GO:0042802
Q27Z07	GO:0033815
Q27Z07	GO:0042802
D2DRC4	GO:0033815
D2DRC5	GO:0033815
Q9QWK5	GO:0043027
Q8JHV9	GO:0043027
P06709	GO:0004077
P06709	GO:0003677
Q13075	GO:0005524
Q13490	GO:0047485
Q13490	GO:0003713
Q13490	GO:0016740
Q13490	GO:0004842
Q13490	GO:0008270
Q13489	GO:0016740
Q13489	GO:0004842
O15392	GO:0051087
O15392	GO:0048037
O15392	GO:0043027
O15392	GO:0019899
O15392	GO:0042802
O15392	GO:0008017
O15392	GO:0046982
O15392	GO:0042803
O15392	GO:0008536
O15392	GO:0015631
O15392	GO:0008270
Q9NR09	GO:0004869
Q9NR09	GO:0004842
O88738	GO:0061631
Q96CA5	GO:0004869
Q96CA5	GO:0004842
P20099	GO:0033744
P20099	GO:0030151
Q9FMZ0	GO:0046982
Q9FMZ0	GO:0004860
P46663	GO:0004947
Q61125	GO:0042277
P97583	GO:0004947
P97583	GO:0042277
P30411	GO:0004947
P30411	GO:0004435
P30411	GO:0002020
P30411	GO:0046982
P30411	GO:0031702
P25023	GO:0031698
P25023	GO:0004947
Q9VTE0	GO:0042803
Q6QNY1	GO:0043015
Q6QNY1	GO:0008022
Q32WR5	GO:0008022
Q5U5M8	GO:0008320
O01822	GO:0042803
Q9UL45	GO:0051015
Q9UL45	GO:0042802
Q9UL45	GO:0042803
Q9UL45	GO:0019905
P52700	GO:0008800
P52700	GO:0008270
P04190	GO:0008270
O08498	GO:0008800
O08498	GO:0008270
P26918	GO:0008800
P26918	GO:0008270
P25910	GO:0008800
P25910	GO:0008270
P52699	GO:0008800
P52699	GO:0008270
P9WKD3	GO:0008800
P9WKD3	GO:0033251
P9WKD3	GO:0033250
P9WMJ5	GO:0003677
C7C422	GO:0008800
C7C422	GO:0008270
Q9SJ56	GO:0003677
Q9SJ56	GO:0046982
Q9SJ56	GO:0042803
Q01532	GO:0008234
Q01532	GO:0003690
Q01532	GO:0003729
Q01532	GO:0000978
Q01532	GO:0003697
O65685	GO:0044212
Q9LZM8	GO:0043565
Q4PNI0	GO:0010436
P51451	GO:0004715
P51451	GO:0004713
P16277	GO:0004713
P43583	GO:0070577
P43583	GO:0016504
P43583	GO:0070628
Q13867	GO:0004177
Q13867	GO:0004180
Q13867	GO:0004197
Q13867	GO:0008234
Q8R016	GO:0008233
Q93560	GO:0001158
O18017	GO:0043138
O18017	GO:0008094
O18017	GO:0019899
Q9VGI8	GO:0043140
Q9VGI8	GO:0008094
Q9VGI8	GO:0000403
P54132	GO:0036310
P54132	GO:0005524
P54132	GO:0004003
P54132	GO:0008026
P54132	GO:0016887
P54132	GO:0000405
P54132	GO:0009378
P54132	GO:0051880
P54132	GO:0004386
P54132	GO:0002039
P54132	GO:0003697
O88700	GO:0043140
Q8WV28	GO:0005070
Q8WV28	GO:0005068
P0C717	GO:0042802
Q92PC8	GO:0016705
Q2RNG5	GO:0016705
P75990	GO:0050660
P75990	GO:0070491
P75989	GO:0003700
P30043	GO:0004074
P30043	GO:0042602
O00327	GO:0017162
O00327	GO:0003677
O00327	GO:0070888
O00327	GO:0051879
O00327	GO:0070491
Q9WTL8	GO:0043425
Q9WTL8	GO:0001047
Q9WTL8	GO:0001046
Q9WTL8	GO:0003677
Q9WTL8	GO:0070888
Q9WTL8	GO:0046982
Q9WTL8	GO:0043565
Q9WTL8	GO:0000982
Q9WTL8	GO:0003700
Q9WTL8	GO:0000976
Q9WTL8	GO:0001077
Q9WTL8	GO:0001190
Q8WYA1	GO:0070888
Q8WYA1	GO:0000982
Q2VPD4	GO:0070888
Q8YMK0	GO:0016758
P74165	GO:0000287
P74165	GO:0016758
P29311	GO:0003688
P29311	GO:0050815
P29311	GO:0001102
P34730	GO:0003688
P34730	GO:0050815
P35226	GO:1990841
P35226	GO:0071535
P35226	GO:0008270
P25916	GO:0003682
P25916	GO:0043565
P25916	GO:0097027
O95393	GO:0005179
O95393	GO:0033612
O95393	GO:0031433
P13497	GO:0004222
P13497	GO:0008233
P13497	GO:0004252
P98063	GO:0004222
Q91Z96	GO:0019208
Q91Z96	GO:0004672
P12643	GO:0070700
P12643	GO:0039706
P12643	GO:0019211
P12643	GO:0046982
P12643	GO:0005102
P12643	GO:0046332
P21274	GO:0005125
P21274	GO:0004745
P49001	GO:0008083
P49001	GO:0019904
P49001	GO:0042803
P49001	GO:0005102
P12645	GO:0070700
P12645	GO:0005102
P49002	GO:0008083
P12644	GO:0070700
P12644	GO:0042056
P12644	GO:0039706
P12644	GO:0005125
P21275	GO:0008201
Q06826	GO:0008083
Q06826	GO:0042803
P22003	GO:0070700
P22004	GO:0070700
P22004	GO:0046982
Q04906	GO:0008083
P23359	GO:0005125
P34821	GO:0005125
P55105	GO:0005125
Q13873	GO:0016362
Q13873	GO:0036122
O35607	GO:0098821
P36894	GO:0005524
P36894	GO:0001948
P36894	GO:0042803
P36894	GO:0004674
P36894	GO:0046332
P36894	GO:0004675
P36895	GO:0098821
P36895	GO:0000981
O00238	GO:0005524
O00238	GO:0001948
O00238	GO:0004674
O00238	GO:0046332
O00238	GO:0004675
P36898	GO:0005025
P36898	GO:0005024
Q14692	GO:0044822
Q08965	GO:0005525
Q08965	GO:0003924
Q08965	GO:0034511
Q5ADQ9	GO:0000030
P38278	GO:0016433
Q5A846	GO:0000030
P40493	GO:0070042
P40493	GO:0008757
Q12291	GO:0070042
P51813	GO:0004715
P51813	GO:0004713
P51813	GO:0004871
Q7K480	GO:0001085
Q7K480	GO:0017069
Q7Z5W3	GO:0008171
Q7Z5W3	GO:0008173
P47039	GO:0047536
P47039	GO:0016212
Q01954	GO:0003700
Q8BMQ3	GO:0003677
Q5AL52	GO:0008092
P41832	GO:0042802
P41832	GO:0005522
O60238	GO:0042802
O60238	GO:0005521
O60238	GO:0046982
O60238	GO:0042803
Q9Z2F7	GO:0042803
P53890	GO:0030674
Q12982	GO:0005509
Q12982	GO:0005096
Q09969	GO:0002020
Q09969	GO:0042803
Q12983	GO:0051020
Q12983	GO:0042802
Q12983	GO:0046982
Q12983	GO:0042803
O55003	GO:0042803
Q7Z465	GO:0042802
P40794	GO:0005547
P40794	GO:0005546
Q9PW56	GO:0060422
Q5AAF4	GO:0008092
P40450	GO:0005522
P08088	GO:0018504
P38041	GO:0005543
O75936	GO:0008336
O75936	GO:0008270
Q9QZU7	GO:0008336
O81851	GO:0004842
Q792S6	GO:0051400
Q792S6	GO:0046983
Q792S6	GO:0046982
Q8N9W6	GO:0008494
P84213	GO:0005179
P84212	GO:0005179
P84211	GO:0005179
Q941L3	GO:0005544
Q14137	GO:0044822
P97452	GO:0043021
P53838	GO:0080139
Q9XI23	GO:0080139
Q6PGQ7	GO:0019901
Q9VLD6	GO:0003677
O14613	GO:0017049
O14613	GO:0005096
Q8JZX9	GO:0001515
Q9UKI2	GO:0005519
Q6NZY7	GO:0017049
Q9H3Q1	GO:0044822
Q00587	GO:0098641
P25385	GO:0005484
P22815	GO:0005118
P22815	GO:0030297
Q6WP50	GO:0000287
Q6WP50	GO:0010334
Q24207	GO:0003723
P16009	GO:0003796
P16009	GO:0033922
A0R5Z0	GO:0070628
P9WKX3	GO:0070628
Q9SKD0	GO:0003677
Q9SKD0	GO:0043565
Q9LDE2	GO:0003700
Q8S8C6	GO:0042803
Q8L999	GO:0042803
Q8W4I6	GO:0019843
Q86WA6	GO:0047658
Q96DR5	GO:0001530
P17213	GO:0001530
Q6AXU0	GO:0008289
Q6AXU0	GO:0001530
P50747	GO:0009374
P50747	GO:0004080
P50747	GO:0018271
P50747	GO:0019899
P48445	GO:0004077
P48445	GO:0071734
Q8L765	GO:0042802
O22286	GO:0042802
O95861	GO:0008441
Q9Z0S1	GO:0008441
Q9Z1N4	GO:0008441
Q9Z1N4	GO:0004441
Q9Z1N4	GO:0000287
Q5JIZ3	GO:0016765
P00974	GO:0019870
P14772	GO:0015127
P14772	GO:0015086
Q12830	GO:0043565
Q12830	GO:0008134
Q9LY74	GO:0051741
P74388	GO:0051741
Q92358	GO:0030674
Q9US52	GO:0030674
Q07998	GO:0003677
Q07998	GO:0043565
Q07998	GO:0044212
P79777	GO:0051087
O15178	GO:0001102
O15178	GO:0000980
O15178	GO:0003705
P20293	GO:0001102
P20293	GO:0000978
P20293	GO:0000980
P20293	GO:0000981
P20293	GO:0001085
P20293	GO:0043565
P20293	GO:0001191
P24781	GO:0001102
P15056	GO:0005509
P15056	GO:0042802
P15056	GO:0004672
P15056	GO:0004674
P28028	GO:0004672
Q7Z569	GO:0042802
Q7Z569	GO:0008139
Q7Z569	GO:0061630
Q7Z569	GO:0004842
Q9SZ58	GO:0003996
Q9SZ58	GO:0016747
Q8MQJ9	GO:0045182
Q8MQJ9	GO:0030371
Q01295	GO:0003677
Q01295	GO:0000977
Q01295	GO:0003700
Q24206	GO:0003677
Q24206	GO:0000977
Q24206	GO:0003700
Q8RXD4	GO:0004842
P38398	GO:0003677
P38398	GO:0019899
P38398	GO:0003723
P38398	GO:0044212
P38398	GO:0031625
P38398	GO:0004842
P38398	GO:0008270
P48754	GO:0003684
P48754	GO:0044212
O54952	GO:0003682
P51587	GO:0043015
P51587	GO:0010484
P51587	GO:0010485
P51587	GO:0002020
P51587	GO:0003697
O35923	GO:0003697
P46736	GO:0030234
P46736	GO:0008237
P46736	GO:0031593
P46736	GO:0004843
O95696	GO:0042393
P25440	GO:0003682
P25440	GO:0070577
Q15059	GO:0003682
Q15059	GO:0070577
F1R5H6	GO:0003682
F1R5H6	GO:0042393
O60885	GO:0003682
O60885	GO:0070577
O60885	GO:0002039
Q9ESU6	GO:0003682
Q9ESU6	GO:0003677
Q9NPI1	GO:0042393
Q9NPI1	GO:0070577
Q9NPI1	GO:0002039
Q9NPI1	GO:0003713
Q9NPI1	GO:0003714
Q9NPI1	GO:0008134
Q9NPI1	GO:0044212
O88665	GO:0003714
Q9H0E9	GO:0004887
Q9H8M2	GO:0070577
Q58F21	GO:0042393
Q58F21	GO:0003713
Q91Y44	GO:0042393
Q91Y44	GO:0070577
Q8RXD6	GO:0042803
Q8RXD6	GO:0004842
Q5VTR2	GO:0042393
Q5VTR2	GO:0003730
Q5VTR2	GO:0002039
Q5VTR2	GO:0003713
Q5VTR2	GO:0031625
Q5VTR2	GO:0004842
Q5DTM8	GO:0003682
Q9C895	GO:0042803
O75150	GO:0003730
O75150	GO:0042803
O75150	GO:0031625
Q8CJB9	GO:0032403
Q8CJB9	GO:0017075
Q8CJB9	GO:0031624
Q8CJB9	GO:0004842
P34537	GO:0031624
Q9VRP9	GO:0016874
Q07457	GO:0003688
Q07457	GO:0042802
Q07457	GO:0004842
Q03562	GO:0019187
Q9GUM2	GO:0008376
Q9GUM2	GO:0033207
Q95US5	GO:0008376
P53741	GO:0042802
Q9NXR7	GO:0000268
Q9NXR7	GO:0031593
Q9NXR7	GO:0005164
Q8K3W0	GO:0005164
Q9FHE4	GO:0004842
O22476	GO:0042802
O22476	GO:0046982
O22476	GO:0042803
O22476	GO:0004672
O22476	GO:0004674
O22476	GO:0005496
O95415	GO:0042802
Q94JY4	GO:0042802
Q8WUW1	GO:0032403
P10069	GO:0003700
Q9HCU9	GO:0004407
Q9HCU9	GO:0051059
Q6EVK6	GO:0003682
Q6EVK6	GO:0003677
Q8LFS6	GO:0003729
Q8GZ26	GO:0003729
P0AD99	GO:0015188
P0AD99	GO:0015190
P0AD99	GO:0005304
Q24157	GO:0008375
Q24157	GO:0046981
P48582	GO:0035800
Q24039	GO:0046982
Q24039	GO:0003713
Q24039	GO:0008134
Q99177	GO:0003723
P32639	GO:0004004
P32247	GO:0004946
Q8TDC3	GO:0005524
Q8TDC3	GO:0000287
Q8TDC3	GO:0004674
Q8TDC3	GO:0050321
Q5RJI5	GO:0043015
Q5RJI5	GO:0019901
Q5RJI5	GO:0004674
Q5RJI5	GO:0050321
B2DD29	GO:0004674
Q8IWQ3	GO:0005524
Q8IWQ3	GO:0051117
Q8IWQ3	GO:0000287
Q8IWQ3	GO:0004674
Q8IWQ3	GO:0050321
Q69Z98	GO:0000287
Q69Z98	GO:0019901
Q69Z98	GO:0004674
Q69Z98	GO:0050321
Q8TDN6	GO:0044822
Q08235	GO:0008097
Q08235	GO:0042134
Q810B3	GO:0000978
Q810B3	GO:0043565
Q810B3	GO:0003700
Q810B3	GO:0001077
Q6XMI3	GO:0052624
Q6XMI3	GO:0080150
Q6XMI3	GO:0008757
Q8WZ55	GO:0005247
Q8R2H3	GO:0017081
O88778	GO:0001222
Q06604	GO:0030674
Q3UW26	GO:0008201
Q0Q236	GO:0008201
P43571	GO:0050185
Q10589	GO:0008191
Q10589	GO:0044822
Q10589	GO:0042803
Q10589	GO:0004871
Q9LR78	GO:0004722
P33532	GO:0031925
P33532	GO:0031927
P33532	GO:0031928
P33532	GO:0015234
Q13410	GO:0004872
Q9FMK7	GO:0005516
Q94BN0	GO:0005516
Q9SYL0	GO:0005516
Q9FJX5	GO:0005516
Q6EJ98	GO:0005516
P35070	GO:0005154
P35070	GO:0008083
P35070	GO:0046934
P35070	GO:0004713
P35070	GO:0005088
Q24266	GO:0043565
Q24266	GO:0003705
Q24266	GO:0003700
Q24266	GO:0008134
P43251	GO:0047708
Q8CIF4	GO:0047708
P20290	GO:0044822
P62324	GO:0019899
P27049	GO:0001078
Q5B430	GO:0042973
P08630	GO:0004713
Q06187	GO:0005524
Q06187	GO:0042802
Q06187	GO:0004715
Q06187	GO:0005547
Q06187	GO:0004713
P35991	GO:0004713
Q7TSA3	GO:0004872
P53286	GO:0051087
P53286	GO:0000149
O70355	GO:0005102
Q4H4F5	GO:0008483
Q4H4F3	GO:0016811
Q4H4F0	GO:0016842
Q4H4E9	GO:0016755
Q4H4E7	GO:0016878
Q2L4H3	GO:0016831
Q2L4H3	GO:0042803
Q4H4F7	GO:0016763
Q4H4E5	GO:0016712
Q4H4E4	GO:0016791
Q4H4E3	GO:0016712
P06609	GO:0015235
P06609	GO:0015420
P06611	GO:0015420
P06610	GO:0004602
P06610	GO:0008379
P37028	GO:0031419
O43683	GO:0004672
O94751	GO:0072371
P41695	GO:0004672
P26449	GO:0043130
Q9BRD0	GO:0044822
P27637	GO:0042802
P27637	GO:0008599
Q08004	GO:0043023
Q08492	GO:0030515
P25627	GO:0016435
Q5A506	GO:0005096
P33314	GO:0005096
P41223	GO:0030374
P41223	GO:0035257
P41223	GO:0003700
Q9UYB9	GO:0016887
P53323	GO:0004674
P25558	GO:0005089
P47136	GO:0005525
P25300	GO:0005088
P41697	GO:0003779
P41697	GO:0005519
P41697	GO:0008047
Q9ZNN8	GO:0047512
Q9ZNN8	GO:0070403
Q9ZNN8	GO:0070404
Q45829	GO:0047761
P48524	GO:0034450
Q03758	GO:0034450
Q8H183	GO:0003837
Q9UBR1	GO:0003837
Q03248	GO:0003837
Q03248	GO:0008270
P23293	GO:0004693
P23293	GO:0008353
Q05949	GO:0016538
A2VB89	GO:0005179
Q9VD83	GO:0005179
Q9VD83	GO:0046982
O42666	GO:0008379
Q9RL17	GO:0016709
Q9RKB5	GO:0016709
U5S003	GO:0071949
U5S003	GO:0070402
U5S003	GO:0016709
Q9I3H5	GO:0016709
Q88J44	GO:0016709
P82679	GO:0004497
Q99R54	GO:0071949
Q84TC2	GO:0016706
Q8W2B7	GO:0046527
B4G072	GO:0046527
P10845	GO:0004222
P10845	GO:0008320
P10844	GO:0004222
P10844	GO:0008320
P18640	GO:0004222
P19321	GO:0004222
P19321	GO:0008320
Q00496	GO:0004222
Q00496	GO:0008320
P30996	GO:0004222
P30996	GO:0008320
Q60393	GO:0004222
Q60393	GO:0008320
Q9FGY1	GO:0046556
Q9LXD6	GO:0046556
Q9FLG1	GO:0009044
Q5ATH9	GO:0046556
Q5ATH9	GO:0009044
Q5ATH9	GO:0042285
O95971	GO:0032393
O95971	GO:0004872
O95971	GO:0005102
P36106	GO:0003682
P36106	GO:0035064
P55965	GO:0042803
P55965	GO:0000981
P10506	GO:0004708
P28829	GO:0008349
Q10951	GO:0005096
Q13895	GO:0044822
Q9FGX2	GO:0046982
Q9FGX2	GO:0003700
Q9FGX2	GO:0044212
Q9SI15	GO:0046982
Q9CA46	GO:0042803
Q9FUD3	GO:0046982
Q9FUD3	GO:0042803
P03206	GO:0003677
P03206	GO:0046983
P03206	GO:0043565
O22763	GO:0046982
O22763	GO:0043565
O22763	GO:0003700
O65683	GO:0046982
O65683	GO:0003700
Q501B2	GO:0043565
Q8VY76	GO:0003677
Q8GTS2	GO:0003677
Q9M1G6	GO:0046982
Q9M1G6	GO:0003700
F4IN23	GO:0003677
C0Z2L5	GO:0046982
C0Z2L5	GO:0043565
C0Z2L5	GO:0003700
C0Z2L5	GO:0044212
Q9LZP8	GO:0046982
Q9LZP8	GO:0043565
Q9LZP8	GO:0003700
Q9C7S0	GO:0003700
Q9M2K4	GO:0003677
B9DGI8	GO:0042802
B9DGI8	GO:0046982
Q84LG2	GO:0043565
Q8S307	GO:0003677
Q8S307	GO:0003700
Q7XI96	GO:0003700
P40580	GO:0050664
Q7L1Q6	GO:0098641
Q7L1Q6	GO:0044822
Q9Y6E2	GO:0098641
P38822	GO:0008047
Q9W056	GO:0015171
P15538	GO:0020037
P15538	GO:0004507
P15393	GO:0004507
P15393	GO:0005496
P19099	GO:0020037
P19099	GO:0004507
P19099	GO:0008395
P15539	GO:0004507
P30099	GO:0047783
P30099	GO:0004507
P30100	GO:0047783
P30100	GO:0004507
Q9KZF5	GO:0020037
Q9KZF5	GO:0005506
Q9KZF5	GO:0004497
Q9KZF5	GO:0016705
Q9FCA6	GO:0020037
Q9FCA6	GO:0005506
Q9FCA6	GO:0004497
Q9FCA6	GO:0016705
Q6R7M4	GO:0016709
C0SPF7	GO:0016709
Q90460	GO:0042802
Q96L14	GO:0042802
Q9VYD1	GO:0046975
Q9VYD1	GO:0051219
Q13901	GO:0003677
Q13901	GO:0003723
O35473	GO:0003677
O35473	GO:0016922
O35473	GO:0003714
Q7K237	GO:0048531
Q7K237	GO:0016263
Q9NS00	GO:0016263
P02745	GO:0004252
Q07021	GO:0001849
Q07021	GO:0005540
Q07021	GO:0030984
Q07021	GO:0003714
Q07021	GO:0008134
O35658	GO:0097177
O35658	GO:0003729
O35796	GO:0031690
O35796	GO:0001849
O35796	GO:0005080
P02746	GO:0004252
P14106	GO:0042803
P02747	GO:0004252
Q8CFR0	GO:0042802
Q4ZJM9	GO:0042802
Q9NPY3	GO:0001849
O88992	GO:0005102
Q9BXJ1	GO:0005518
Q9D8U4	GO:0042802
Q9D8U4	GO:0005102
Q9ES30	GO:0042802
Q8K479	GO:0042802
Q6IR41	GO:0042802
P00736	GO:0004252
P00736	GO:0008236
P09871	GO:0042802
P09871	GO:0004252
P0C862	GO:0042802
P11586	GO:0004477
P11586	GO:0004486
Q922D8	GO:0004329
Q922D8	GO:0004487
P27653	GO:0004329
P27653	GO:0004477
P27653	GO:0004486
Q8WZJ7	GO:0004329
Q8WZJ7	GO:0004477
Q8WZJ7	GO:0004488
Q8WZJ7	GO:0003697
P07245	GO:0004329
P07245	GO:0004477
P07245	GO:0004488
Q6UB35	GO:0005524
Q6UB35	GO:0004329
Q6UB35	GO:0042803
P09440	GO:0004329
P09440	GO:0004477
P09440	GO:0004488
Q91ZX1	GO:0097367
Q91ZX1	GO:0005537
Q8CJ91	GO:0001872
Q8CJ91	GO:0005537
Q8CJ91	GO:0030247
Q91ZW9	GO:0005537
Q91ZW8	GO:0005537
Q91ZW8	GO:0042803
Q91ZW7	GO:0005537
Q80X80	GO:0043559
Q86YS7	GO:0005509
Q86YS7	GO:0005544
Q7TPS5	GO:0005509
Q6P1N0	GO:0098641
Q6P1N0	GO:0004871
Q8K1A6	GO:0000978
Q8K1A6	GO:0001078
Q8BRN9	GO:0000978
Q8BRN9	GO:0001078
Q9VKJ9	GO:0005543
P33076	GO:0033613
P33076	GO:0008022
P33076	GO:0032403
P33076	GO:0003713
P33076	GO:0044212
O88680	GO:0004943
Q16581	GO:0004943
Q16581	GO:0004876
Q16581	GO:0004930
Q16581	GO:0004435
O55197	GO:0004943
O55197	GO:0001850
O77086	GO:0017034
O77086	GO:0005088
Q9C9N3	GO:0003729
Q9C9F5	GO:0044212
Q9SIV5	GO:0042393
O82307	GO:0003677
O82307	GO:0003723
O82307	GO:0003727
Q9FU27	GO:0008270
Q8GXX7	GO:0003677
Q8GXX7	GO:0048027
Q8GXX7	GO:0004518
Q8GXX7	GO:0010313
Q941Q3	GO:0003723
Q8L7N8	GO:0003677
Q8L7N8	GO:0004518
A0NXQ8	GO:0016597
A0NXQ8	GO:0016836
A0NXQ8	GO:0000287
D7A0Y2	GO:0016836
Q9NRR8	GO:0005095
Q9NRR3	GO:0005198
Q6VVX2	GO:0070273
Q9Y5P4	GO:0097001
Q9Y5P4	GO:0035620
Q9Y5P4	GO:0070273
Q9Y5P4	GO:0004672
Q9EQG9	GO:0016301
P04003	GO:0044822
Q63514	GO:0001848
Q23997	GO:0008061
D0VWV4	GO:0020037
P0ABE5	GO:0020037
P21730	GO:0004944
P21730	GO:0004878
Q6UNA4	GO:0001856
P97520	GO:0004944
P97520	GO:0001856
P97520	GO:0004878
Q695P6	GO:0004930
Q5Z5R4	GO:0052615
Q0DBF4	GO:0016709
Q9LNJ4	GO:0016709
Q9C788	GO:0018685
O64697	GO:0000249
O64698	GO:0000249
Q9ZV28	GO:0000249
Q50LH3	GO:0047052
Q50LH4	GO:0047052
B5UAQ8	GO:0047053
Q948Y1	GO:0047056
